优惠类型,商品编号,首次观测,商品名称,适用性别,季节,初上市价,当前最低价,当前最高价,优惠幅度,优惠开始,优惠结束,有货,商品链接
超值精选,487899,2026-09-14,快干修身POLO衫/短袖条纹,男装,2026年夏季,199,59,59,70.4%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073216
超值精选,482225,2026-09-14,快干弹力轻型茄克/格纹,男装,2026年夏季,499,149,149,70.1%,2026-05-29 08:00,2026-06-04 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070233
超值精选,464925,2026-09-14,高性能修身防皱衬衫/长袖纽扣领,男装,2024年春季,249,79,79,68.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074624
超值精选,467480,2026-09-14,高性能修身防皱衬衫/长袖衬衣商务通勤,男装,2024年春季,249,79,79,68.3%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074656
超值精选,482890,2026-09-14,易打理快干弹力轻型长裤/加长款,男装,2026年夏季,299,99,99,66.9%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074996
超值精选,482891,2026-09-14,易打理快干弹力轻型长裤,男装,2026年夏季,299,99,99,66.9%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075000
超值精选,482903,2026-09-14,易打理快干弹力轻型长裤/加长款,男装,2026年夏季,299,99,99,66.9%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075002
超值精选,482904,2026-09-14,易打理快干弹力轻型长裤,男装,2026年夏季,299,99,99,66.9%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074998
超值精选,484875,2026-09-14,廓形长裤,男装,2026年夏季,299,99,99,66.9%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075316
超值精选,482296,2026-09-14,圆领T恤/短袖,男装,2026年夏季,99,39,39,60.6%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073736
超值精选,482297,2026-09-14,SUPIMA COTTON圆领T恤/短袖,男装,2026年夏季,99,39,39,60.6%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000074341
超值精选,482299,2026-09-14,DRY-EX速干T恤/短袖,男装,2026年夏季,99,39,39,60.6%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075577
超值精选,482299,2026-09-14,DRY-EX速干T恤/短袖,男装,2026年夏季,99,39,39,60.6%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000075017
超值精选,482301,2026-09-14,V领T恤/短袖,男装,2026年夏季,99,39,39,60.6%,2026-04-30 00:00,2026-05-07 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000071090
超值精选,482771,2026-09-14,UT蓝色禁区印花T恤/短袖T恤,男装,2026年夏季,99,39,39,60.6%,2026-07-03 08:00,2026-07-09 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000071753
超值精选,482773,2026-09-14,UT MusicalIcons印花T恤/短袖T恤,男装,2026年夏季,99,39,39,60.6%,2026-05-29 08:00,2026-06-04 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000071154
超值精选,484760,2026-09-14,UT卢浮宫博物馆印花T恤/短袖T恤,男装,2026年夏季,99,39,39,60.6%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000070877
超值精选,485308,2026-09-14,UT PIXAR印花T恤/短袖T恤,男装,2026年夏季,99,39,39,60.6%,2026-07-17 08:00,2026-07-23 23:59,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000072396
超值精选,485563,2026-09-14,圆领T恤/短袖,男装,2026年夏季,99,39,39,60.6%,,,是,https://www.uniqlo.cn/product-detail.html?productCode=u0000000073740
